,QC_sys_kWh,E_sys_kWh,QC_winning,E_winning,Qcs_sys_kWh,Qcs_winning,Qcs_base_load
B1055,0.2878339421910272,0.0170858464725545,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-28,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-28,0.0853088849713896,WINDOW_AS10-TIGHTNESS_AS4-0.29-1.0-17-17,203.13530706200717
B1047,0.0722288279459994,0.0201813132901166,WINDOW_AS10-TIGHTNESS_AS2-0.59-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-29-OFF,0.0874231227325857,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-29-OFF,1708.8277267229294
B1105,0.0910406296292293,0.0364543480498371,WINDOW_AS10-TIGHTNESS_AS2-0.69-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.69-1.0-28-28,0.1016675888455219,WINDOW_AS10-TIGHTNESS_AS4-0.59-1.0-26-26,244.56483135895465
B1053,0.2324140883795894,0.052851537149221,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-28,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-28,0.1081800574715494,WINDOW_AS10-TIGHTNESS_AS3-0.59-1.0-24-24,205.96818858574267
B1115,0.1275435957478628,0.0327577685742438,WINDOW_AS10-TIGHTNESS_AS2-0.39-1.0-28-28,WINDOW_AS10-TIGHTNESS_AS2-0.39-1.0-28-28,0.1084959357215879,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-24-24,455.05490637613866
B1126,0.123123610813197,0.0397054640432514,WINDOW_AS10-TIGHTNESS_AS2-0.79-1.0-28-OFF,WINDOW_AS9-TIGHTNESS_AS4-0.59-1.0-29-29,0.1146682942597463,WINDOW_AS9-TIGHTNESS_AS4-0.59-1.0-29-29,494.1590309693293
B1114,0.2297682933515359,0.105186836482397,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-28,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-28,0.11935726878656,WINDOW_AS9-TIGHTNESS_AS4-0.59-1.0-25-25,198.55602871614212
B1104,0.1829806118990781,0.0266804804805278,WINDOW_AS10-TIGHTNESS_AS2-0.69-1.0-28-28,WINDOW_AS10-TIGHTNESS_AS2-0.69-1.0-28-28,0.1296680725883401,WINDOW_AS10-TIGHTNESS_AS4-0.79-1.0-25-25,201.0046677542158
B1099,0.1551589743321344,0.0237374758558335,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-28,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-28,0.1311644279159362,WINDOW_AS9-TIGHTNESS_AS4-0.89-1.0-17-17,233.46620629797937
B1005,0.1149572157869222,0.0549537459135976,WINDOW_AS8-TIGHTNESS_AS2-0.49-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-28,0.1454454145777976,WINDOW_AS8-TIGHTNESS_AS4-0.29-1.0-18-20,379.44160385494655
